,0,1
78,,Espere pelo mais sábio dos conselhos: o tempo.
79,,Todas as coisas são difíceis antes de se tornarem fáceis.
80,,Você pode encontrar a si mesmo fazendo ou dizendo coisas que você nunca imaginou possíveis.
81,,Se você se sente só é porque construiu muros ao invés de pontes.
82,,Vencer é 90 por cento suor e 40 por cento técnica.
83,,O amor está mais próximo do que você imagina.
84,,A vida coloca em nossa frente opções.
85,,Você é do tamanho do seu sonho.
86,,Pare de procurar eternamente; a felicidade está bem ao seu lado.
87,,Conhecimento é a única virtude e ignorância é o único vício.
88,,O nosso primeiro e último amor é… o amor-próprio.
89,,Deixe de lado as preocupações e seja feliz.
90,,A vontade das pessoas é a melhor das leis.
91,,Nós somos o que pensamos.
92,,A maior barreira para o sucesso é o medo do fracasso.
93,,O pessimista vê a dificuldade em cada oportunidade; O otimista vê a oportunidade em cada dificuldade.
94,,Muitas das grandes realizações do mundo foram feitas por homens cansados e desanimados que continuaram trabalhando.
95,,O insucesso é apenas uma oportunidade para recomeçar de novo com mais inteligência.
96,,O futuro pertence àqueles que acreditam na beleza de seus sonhos.
97,,Coragem é a resistência ao medo... domínio do medo... e não a ausência do medo.
98,,O verdadeiro homem mede a sua força... quando se defronta com o obstáculo.
99,,Você precisa fazer aquilo que pensa que não é capaz de fazer.
101,,Quem quer vencer um obstáculo deve armar-se da força do leão e da prudência da serpente.
102,,A adversidade desperta em nós capacidades que... em circunstâncias favoráveis... teriam ficado adormecidas.
103,,A vida é para quem topa qualquer parada. Não para quem pára em qualquer topada.
104,,Motivação não é sinônimo de transformação... mas um passo em sua direção.
105,,O que empobrece o ser humano... não é a falta de dinheiro... mais sim... a falta de fé...motivação e criatividade.
106,,Inspiração vem dos outros. Motivação vem de dentro de nós.
107,,Não acredite mais em pessoas especiais... mas em momentos especiais com pessoas habituais.
108,,“A nossa vida tem 4 sentidos…amar... sofrer... lutar e vencer. Ame muito... sofra pouco...lute bastante e vença sempre!”
109,,Nada é por acaso…Acredite em seus sonhos e nos seus potenciais….Na vida tudo se supera..
110,,Acredite em milagres... mas não dependa deles.
111,,Você sempre será a sua melhor companhia!
112,,Realize o óbvio... pense no improvável e conquiste o impossível Latumia.
113,,A vida trará coisas boas se tiveres paciência.
114,,Demonstre amor e alegria em todas as oportunidades e verás que a paz nasce dentro de você.
115,,Não compense na ira o que lhe falta na razão.
116,,Defeitos e virtudes são apenas dois lados da mesma moeda.
117,,A maior de todas as torres começa no solo.
118,,Não há que ser forte. Há que ser flexível.
119,,Gente todo dia arruma os cabelos... por que não o coração?
120,,Há três coisas que jamais voltam; a flecha lançada... a palavra dita e a oportunidade perdida.
121,,A juventude não é uma época da vida... é um estado de espírito.
122,,Podemos escolher o que semear... mas somos obrigados a colher o que plantamos.
123,,Dê toda a atenção para a formação dos teus filhos... sobretudo por exemplos de tua própria vida.
124,,Siga os bons e aprenda com eles.
125,,Não importa o tamanho da montanha... ela não pode tapar o sol.
126,,O bom-senso vai mais longe do que muito conhecimento.
127,,Quem quer colher rosas deve suportar os espinhos.
128,,São os nossos amigos que nos ensinam as mais valiosas lições.
129,,Uma iniciativa mal-sucedida não significa o final de tudo. Sempre existe uma nova oportunidade.
130,,Aquele que se importa com o sentimento dos outros... não é um tolo.
131,,A adversidade é um espelho que reflete o verdadeiro eu.
132,,Lamentar aquilo que não temos é desperdiçar aquilo que já possuímos.
133,,Uma bela flor é incompleta sem suas folhas.
134,,Sem o fogo do entusiasmo... não há o calor da vitória.
135,,Não há melhor negócio que a vida. A gente há obtém a troco de nada.
136,,O riso é a menor distância entre duas pessoas.
137,,Você é jovem apenas uma vez. Depois precisa inventar outra desculpa.
138,,É mais fácil conseguir o perdão do que a permissão.
139,,Os defeitos são mais fortes quando o amor é fraco.
140,,Amizade e Amor são coisas que podem virar uma só num piscar de olhos.
